node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
CYB5R3,MARC1,9606.ENSP00000354468,9606.ENSP00000355877,0,0,0,0,61,0,900,475,946
DCAF7,RBX1,9606.ENSP00000483236,9606.ENSP00000216225,0,0,0,0,0,0,900,163,912
DCTPP1,PRIM2,9606.ENSP00000322524,9606.ENSP00000484105,0,0,0,0,64,0,650,0,658
DCTPP1,POLA1,9606.ENSP00000322524,9606.ENSP00000368349,0,0,0,0,91,0,650,0,668
DCTPP1,PRIM1,9606.ENSP00000322524,9606.ENSP00000350491,0,0,0,0,205,0,650,0,709
DDX10,EXOSC5,9606.ENSP00000314348,9606.ENSP00000221233,0,0,0,0,636,57,0,86,658
DDX10,RBM28,9606.ENSP00000314348,9606.ENSP00000223073,0,0,0,0,902,157,0,74,916
DDX10,RRP9,9606.ENSP00000314348,9606.ENSP00000232888,0,0,0,0,869,0,0,268,900
DDX10,MPHOSPH10,9606.ENSP00000314348,9606.ENSP00000244230,0,0,0,0,867,188,0,543,946
DDX10,MDN1,9606.ENSP00000314348,9606.ENSP00000358400,0,0,0,0,197,52,0,285,408
DDX10,EXOSC2,9606.ENSP00000314348,9606.ENSP00000361433,0,0,0,0,252,0,0,284,441
DDX10,UPF1,9606.ENSP00000314348,9606.ENSP00000470142,0,0,0,0,81,124,0,527,585
DDX10,DDX21,9606.ENSP00000314348,9606.ENSP00000346120,0,0,402,632,545,0,0,399,662
DDX10,TRMT1,9606.ENSP00000314348,9606.ENSP00000466967,53,0,0,0,684,129,0,0,716
DDX10,NGDN,9606.ENSP00000314348,9606.ENSP00000386134,0,0,0,0,872,171,0,565,949
DDX10,NOL10,9606.ENSP00000314348,9606.ENSP00000371101,0,0,0,0,899,269,0,561,964
DDX21,RBM28,9606.ENSP00000346120,9606.ENSP00000223073,0,0,0,0,567,261,0,74,678
DDX21,RRP9,9606.ENSP00000346120,9606.ENSP00000232888,0,0,0,0,462,0,0,112,502
DDX21,MPHOSPH10,9606.ENSP00000346120,9606.ENSP00000244230,0,0,0,0,320,171,0,68,429
DDX21,NOL10,9606.ENSP00000346120,9606.ENSP00000371101,0,0,0,0,479,118,0,66,533
DDX21,NGDN,9606.ENSP00000346120,9606.ENSP00000386134,0,1,0,0,461,171,0,57,542
DDX21,LARP7,9606.ENSP00000346120,9606.ENSP00000422626,0,0,0,0,154,410,0,331,637
DNAJC11,PRIM1,9606.ENSP00000366800,9606.ENSP00000350491,0,0,0,0,440,0,0,57,449
DNAJC19,PMPCB,9606.ENSP00000372005,9606.ENSP00000249269,0,0,0,0,0,260,900,58,924
DNAJC19,TIMM10B,9606.ENSP00000372005,9606.ENSP00000254616,0,0,0,0,145,0,0,348,419
DNAJC19,TIMM10,9606.ENSP00000372005,9606.ENSP00000257245,0,0,0,0,195,130,0,725,791
DNAJC19,GRPEL1,9606.ENSP00000372005,9606.ENSP00000264954,60,0,0,0,129,83,900,719,975
DNAJC19,TOMM70A,9606.ENSP00000372005,9606.ENSP00000284320,0,0,0,0,103,157,0,697,751
DNAJC19,PMPCA,9606.ENSP00000372005,9606.ENSP00000360782,0,0,0,0,0,137,900,57,911
DNAJC19,TIMM8B,9606.ENSP00000372005,9606.ENSP00000438455,0,0,0,0,135,52,0,381,448
DNMT1,MAT2B,9606.ENSP00000352516,9606.ENSP00000325425,0,0,0,0,62,0,900,404,939
DNMT1,PRIM1,9606.ENSP00000352516,9606.ENSP00000350491,0,0,0,0,320,0,0,178,418
DNMT1,POLA1,9606.ENSP00000352516,9606.ENSP00000368349,43,0,0,0,303,0,0,178,404
DNMT1,SIRT5,9606.ENSP00000352516,9606.ENSP00000476228,0,0,0,0,63,0,0,454,467
DNMT1,WHSC1,9606.ENSP00000352516,9606.ENSP00000372351,0,0,0,0,119,185,0,346,490
DNMT1,HDAC2,9606.ENSP00000352516,9606.ENSP00000430432,0,0,0,0,61,573,900,702,986
ECSIT,NDUFAF1,9606.ENSP00000270517,9606.ENSP00000260361,0,0,0,0,99,895,900,925,999
ECSIT,ITGB1,9606.ENSP00000270517,9606.ENSP00000379350,0,0,0,0,0,777,0,0,777
ECSIT,NDUFB9,9606.ENSP00000270517,9606.ENSP00000276689,0,0,0,0,227,0,900,128,926
ECSIT,NDUFAF2,9606.ENSP00000270517,9606.ENSP00000296597,0,0,0,0,85,0,900,561,956
EDEM3,ERLEC1,9606.ENSP00000318147,9606.ENSP00000185150,0,0,0,0,62,754,0,618,904
EDEM3,ERP44,9606.ENSP00000318147,9606.ENSP00000262455,0,0,0,0,0,754,0,68,761
EDEM3,LMAN2,9606.ENSP00000318147,9606.ENSP00000303366,0,0,0,0,0,0,0,578,578
EDEM3,UGGT2,9606.ENSP00000318147,9606.ENSP00000365938,0,0,0,0,148,0,0,341,414
EDEM3,HYOU1,9606.ENSP00000318147,9606.ENSP00000480150,0,0,0,0,0,754,0,125,775
ERGIC1,RTN4,9606.ENSP00000377374,9606.ENSP00000337838,0,0,0,0,0,261,0,263,432
ERLEC1,SIL1,9606.ENSP00000185150,9606.ENSP00000378294,0,0,0,0,92,0,0,441,471
ERLEC1,NGLY1,9606.ENSP00000185150,9606.ENSP00000280700,0,0,0,0,0,0,0,529,529
ERLEC1,UGGT2,9606.ENSP00000185150,9606.ENSP00000365938,0,0,0,0,172,0,0,531,595
ERLEC1,LMAN2,9606.ENSP00000185150,9606.ENSP00000303366,0,0,0,0,59,0,0,610,618
ERLEC1,HYOU1,9606.ENSP00000185150,9606.ENSP00000480150,0,0,0,0,814,64,0,346,876
ERLEC1,FOXRED2,9606.ENSP00000185150,9606.ENSP00000380401,0,0,0,0,0,860,0,429,916
ERLEC1,FAM8A1,9606.ENSP00000185150,9606.ENSP00000259963,0,0,0,0,62,860,0,536,933
ERLEC1,P4HB,9606.ENSP00000185150,9606.ENSP00000327801,0,0,0,0,200,0,900,466,953
ERO1LB,ERP44,9606.ENSP00000346635,9606.ENSP00000262455,0,0,0,0,61,327,0,464,632
ERO1LB,P4HB,9606.ENSP00000346635,9606.ENSP00000327801,0,0,0,0,64,465,600,640,918
ERO1LB,HYOU1,9606.ENSP00000346635,9606.ENSP00000480150,0,0,0,0,91,55,0,479,514
ERP44,LMAN2,9606.ENSP00000262455,9606.ENSP00000303366,0,0,0,0,121,0,0,347,401
ERP44,HYOU1,9606.ENSP00000262455,9606.ENSP00000480150,0,0,0,0,64,128,0,364,436
ERP44,RAB1A,9606.ENSP00000262455,9606.ENSP00000387286,0,0,0,0,132,80,0,381,463
ERP44,NEU1,9606.ENSP00000262455,9606.ENSP00000364782,59,0,0,0,0,0,900,0,901
ETFA,PMPCB,9606.ENSP00000452762,9606.ENSP00000249269,0,0,0,0,288,52,0,199,413
ETFA,NUP210,9606.ENSP00000452762,9606.ENSP00000254508,0,0,0,0,59,403,0,0,414
ETFA,NDUFAF1,9606.ENSP00000452762,9606.ENSP00000260361,0,0,0,0,123,0,0,387,439
ETFA,RAB1A,9606.ENSP00000452762,9606.ENSP00000387286,0,0,0,0,138,363,0,0,427
EXOSC2,EXOSC5,9606.ENSP00000361433,9606.ENSP00000221233,135,0,0,0,852,998,900,882,999
EXOSC2,RRP9,9606.ENSP00000361433,9606.ENSP00000232888,0,0,0,0,729,0,900,0,971
EXOSC2,MPHOSPH10,9606.ENSP00000361433,9606.ENSP00000244230,0,0,0,0,389,0,900,0,936
EXOSC2,PMPCB,9606.ENSP00000361433,9606.ENSP00000249269,0,0,0,0,68,457,0,0,472
EXOSC2,NGDN,9606.ENSP00000361433,9606.ENSP00000386134,0,0,0,0,439,0,0,141,498
EXOSC2,UPF1,9606.ENSP00000361433,9606.ENSP00000470142,0,0,0,0,224,358,0,173,552
EXOSC2,RPL36,9606.ENSP00000361433,9606.ENSP00000464342,0,0,0,0,131,0,900,0,909
EXOSC2,EXOSC8,9606.ENSP00000361433,9606.ENSP00000374354,135,0,0,0,504,998,900,869,999
EXOSC5,NGDN,9606.ENSP00000221233,9606.ENSP00000386134,0,0,0,0,352,0,0,114,402
EXOSC5,ZDHHC5,9606.ENSP00000221233,9606.ENSP00000287169,0,0,0,0,50,0,0,428,433
EXOSC5,MPHOSPH10,9606.ENSP00000221233,9606.ENSP00000244230,0,0,0,0,215,0,900,0,918
EXOSC5,RPL36,9606.ENSP00000221233,9606.ENSP00000464342,0,0,0,0,173,112,900,0,920
EXOSC5,RRP9,9606.ENSP00000221233,9606.ENSP00000232888,0,0,0,0,433,0,900,0,940
EXOSC5,EXOSC8,9606.ENSP00000221233,9606.ENSP00000374354,110,0,206,0,313,998,900,961,999
EXOSC8,RRP9,9606.ENSP00000374354,9606.ENSP00000232888,0,0,0,0,222,0,900,0,918
EXOSC8,MPHOSPH10,9606.ENSP00000374354,9606.ENSP00000244230,0,0,0,0,220,0,900,0,918
EXOSC8,RPL36,9606.ENSP00000374354,9606.ENSP00000464342,0,0,0,0,79,0,900,0,904
FAM134C,GTF2F2,9606.ENSP00000309432,9606.ENSP00000340823,0,0,0,0,57,0,0,533,541
FAM134C,YIF1A,9606.ENSP00000309432,9606.ENSP00000366098,0,0,0,0,46,0,0,579,581
FAM8A1,NGLY1,9606.ENSP00000259963,9606.ENSP00000280700,0,0,0,0,0,0,0,469,469
FAM98A,RPL36,9606.ENSP00000238823,9606.ENSP00000464342,0,0,0,0,181,0,0,389,478
FAM98A,UBAP2,9606.ENSP00000238823,9606.ENSP00000368540,0,0,0,0,58,0,0,501,510
FBLN5,LOX,9606.ENSP00000345008,9606.ENSP00000231004,0,0,0,0,167,363,900,658,979
FBLN5,FBN1,9606.ENSP00000345008,9606.ENSP00000325527,0,0,0,695,140,348,0,838,563
FBLN5,RTN4,9606.ENSP00000345008,9606.ENSP00000337838,0,0,0,0,0,0,0,492,492
FBN1,WFS1,9606.ENSP00000325527,9606.ENSP00000226760,0,0,0,0,0,0,900,55,901
FBN1,LOX,9606.ENSP00000325527,9606.ENSP00000231004,0,0,0,0,363,363,0,593,820
FBN1,STC2,9606.ENSP00000325527,9606.ENSP00000265087,0,0,0,0,98,0,900,56,907
FBN1,MFGE8,9606.ENSP00000325527,9606.ENSP00000268150,0,0,0,0,78,0,900,83,908
FBN1,P4HB,9606.ENSP00000325527,9606.ENSP00000327801,0,0,0,0,61,0,900,243,922
FBN1,ITGB1,9606.ENSP00000325527,9606.ENSP00000379350,0,0,0,0,97,53,900,279,930
FBXL12,RBX1,9606.ENSP00000247977,9606.ENSP00000216225,0,0,0,0,0,456,900,281,957
FBXL12,UBOX5,9606.ENSP00000247977,9606.ENSP00000217173,0,0,0,0,79,0,900,53,905
FBXL12,TCEB2,9606.ENSP00000247977,9606.ENSP00000262306,0,0,0,0,0,0,900,50,900
FBXL12,RNF41,9606.ENSP00000247977,9606.ENSP00000342755,0,0,0,0,0,0,900,43,900
FKBP10,LOX,9606.ENSP00000317232,9606.ENSP00000231004,0,0,0,0,271,0,0,223,409
FKBP10,PLOD2,9606.ENSP00000317232,9606.ENSP00000282903,0,0,0,0,160,0,0,689,728
FKBP10,P4HB,9606.ENSP00000317232,9606.ENSP00000327801,0,0,0,0,74,85,0,375,424
FKBP10,SIL1,9606.ENSP00000317232,9606.ENSP00000378294,0,0,0,0,72,0,0,542,557
FKBP7,PPIL3,9606.ENSP00000413152,9606.ENSP00000286175,0,0,0,0,62,63,0,414,440
FKBP7,P4HB,9606.ENSP00000413152,9606.ENSP00000327801,0,0,0,0,0,85,0,491,514
FKBP7,SIL1,9606.ENSP00000413152,9606.ENSP00000378294,0,0,0,0,61,0,0,548,558
FKBP7,FOXRED2,9606.ENSP00000413152,9606.ENSP00000380401,0,0,0,0,0,0,0,667,667
FKBP7,HYOU1,9606.ENSP00000413152,9606.ENSP00000480150,0,0,0,0,63,141,0,321,405
FYCO1,WFS1,9606.ENSP00000296137,9606.ENSP00000226760,0,0,0,0,0,0,0,658,658
G3BP1,NUTF2,9606.ENSP00000377681,9606.ENSP00000219169,0,0,0,0,87,0,0,732,745
G3BP1,UPF1,9606.ENSP00000377681,9606.ENSP00000470142,0,0,0,0,117,133,0,420,517
GCC1,GCC2,9606.ENSP00000318821,9606.ENSP00000307939,0,0,0,543,0,0,900,904,941
GCC1,GORASP1,9606.ENSP00000318821,9606.ENSP00000313869,0,0,0,0,0,0,0,677,677
GCC1,GOLGA2,9606.ENSP00000318821,9606.ENSP00000416097,0,0,0,0,0,86,0,513,536
GCC2,NUTF2,9606.ENSP00000307939,9606.ENSP00000219169,0,0,0,0,165,178,0,231,426
GCC2,NUP54,9606.ENSP00000307939,9606.ENSP00000264883,0,0,0,0,69,293,0,229,448
GCC2,GOLGA2,9606.ENSP00000307939,9606.ENSP00000416097,0,0,0,0,0,0,0,668,668
GCC2,GORASP1,9606.ENSP00000307939,9606.ENSP00000313869,0,0,0,0,0,0,0,672,672
GDF15,LOX,9606.ENSP00000252809,9606.ENSP00000231004,0,0,0,0,79,0,0,589,606
GOLGA2,RAB8A,9606.ENSP00000416097,9606.ENSP00000300935,0,0,0,0,0,0,0,459,459
GOLGA2,LMAN2,9606.ENSP00000416097,9606.ENSP00000303366,0,0,0,0,0,0,900,0,900
GOLGA2,GORASP1,9606.ENSP00000416097,9606.ENSP00000313869,0,0,0,0,60,707,900,961,998
GOLGA2,P4HB,9606.ENSP00000416097,9606.ENSP00000327801,0,0,0,0,61,0,0,514,524
GOLGA2,YIF1A,9606.ENSP00000416097,9606.ENSP00000366098,0,0,0,0,54,0,0,510,516
GOLGA2,RAB1A,9606.ENSP00000416097,9606.ENSP00000387286,0,0,0,0,0,404,900,719,981
GORASP1,LMAN2,9606.ENSP00000313869,9606.ENSP00000303366,0,0,0,0,55,0,900,0,901
GORASP1,GRIPAP1,9606.ENSP00000313869,9606.ENSP00000365606,0,0,0,0,0,0,0,422,422
GORASP1,TRMT1,9606.ENSP00000313869,9606.ENSP00000466967,0,0,0,0,0,0,0,427,426
GORASP1,RAB1A,9606.ENSP00000313869,9606.ENSP00000387286,0,0,0,0,55,266,900,570,966
GPAA1,PIGO,9606.ENSP00000347206,9606.ENSP00000367880,0,0,0,0,89,76,900,854,986
GRIPAP1,PUSL1,9606.ENSP00000365606,9606.ENSP00000368318,0,0,0,0,0,0,0,421,420
GRPEL1,PMPCB,9606.ENSP00000264954,9606.ENSP00000249269,0,0,0,0,106,0,900,102,912
GRPEL1,TIMM10B,9606.ENSP00000264954,9606.ENSP00000254616,0,0,0,0,142,0,0,430,490
