id,label
169,ADORA2B
170,ADPRH
171,ADPRHL2
172,ADRA1A
173,ADRM1
174,ADSL
175,AEBP2
176,AEN
177,AES
178,AFAP1
179,AFDN
180,AFF1
181,AFF2
182,AFF3
183,AFF4
184,AFG3L2
185,AFMID
186,AFP
187,AGA
188,AGAP1
189,AGAP11
190,AGAP3
191,AGBL3
192,AGBL5
193,AGGF1
194,AGL
195,AGO1
196,AGO3
197,AGPAT1
198,AGPAT2
199,AGPAT3
200,AGPAT4
201,AGPAT5
202,AGPS
203,AGRN
204,AGT
205,AGTRAP
206,AHCTF1
207,AHCY
208,AHCYL1
209,AHCYL2
210,AHDC1
211,AHI1
212,AHSA1
213,AHSA2
214,AIDA
215,AIF1
216,AIFM1
217,AIG1
218,AIM1
219,AIM1L
220,AIM2
221,AIMP1
222,AJUBA
223,AK1
224,AK2
225,AK3
226,AK4
227,AK5
228,AKAP1
229,AKAP10
230,AKAP11
231,AKAP12
232,AKAP3
233,AKAP6
234,AKAP8
235,AKAP8L
236,AKAP9
237,AKIP1
238,AKIRIN2
239,AKR1B1
240,AKR1B10
241,AKR1B15
242,AKR1C1
243,AKR7A2
244,AKT1
245,AKT1S1
246,AKT2
247,AKTIP
248,ALB
249,ALCAM
250,ALDH16A1
251,ALDH18A1
252,ALDH1A2
253,ALDH1L2
254,ALDH3A1
255,ALDH3A2
256,ALDH3B2
257,ALDH4A1
258,ALDH5A1
259,ALDH7A1
260,ALDH9A1
261,ALDOA
262,ALG10
263,ALG11
264,ALG12
265,ALG13
266,ALG14
267,ALG3
268,ALG5
269,ALG6
270,ALG8
271,ALG9
272,ALKBH1
273,ALKBH2
274,ALKBH5
275,ALKBH6
276,ALKBH7
277,ALKBH8
278,ALMS1
279,ALOX12B
280,ALPK2
281,ALPL
282,ALYREF
283,AMBRA1
284,AMD1
285,AMDHD2
286,AMFR
287,AMIGO2
288,AMMECR1
289,AMN1
290,AMOTL1
291,AMOTL2
292,AMPD3
293,AMTN
294,ANAPC1
295,ANAPC10
296,ANAPC11
297,ANAPC13
298,ANAPC15
299,ANAPC16
300,ANAPC2
301,ANAPC5
302,ANAPC7
303,ANGEL2
304,ANGPT1
305,ANGPTL1
306,ANGPTL2
307,ANK1
308,ANK2
309,ANK3
310,ANKAR
311,ANKH
312,ANKIB1
313,ANKMY1
314,ANKMY2
315,ANKRA2
316,ANKRD11
317,ANKRD12
318,ANKRD13D
319,ANKRD16
320,ANKRD17
321,ANKRD2
322,ANKRD26
323,ANKRD33
324,ANKRD33B
325,ANKRD34A
326,ANKRD37
327,ANKRD40
328,ANKRD45
329,ANKRD49
330,ANKRD53
331,ANKRD54
332,ANKRD6
333,ANKRD7
334,ANKS1B
335,ANKS3
336,ANKS6
337,ANKZF1
338,ANO6
339,ANO7
340,ANO8
341,ANP32A
342,ANP32E
343,ANPEP
344,ANTXR1
345,ANTXR2
346,ANXA1
347,ANXA11
348,ANXA13
349,ANXA2
350,ANXA2P2
351,ANXA2R
352,ANXA5
353,AOX1
354,AP1B1
355,AP1G1
356,AP1G2
357,AP1S1
358,AP1S2
359,AP2A1
360,AP2A2
361,AP2B1
362,AP2M1
363,AP2S1
364,AP3B1
365,AP3B2
366,AP3D1
367,AP3S1
368,AP3S2
369,AP4B1
370,AP4M1
371,AP5M1
372,AP5Z1
373,APBA2
374,APBA3
375,APBB1
376,APBB2
377,APBB3
378,APCDD1L
379,APEH
380,APEX1
381,APH1A
382,APH1B
383,API5
384,APLP2
385,APOB
386,APOBEC3C
387,APOBEC3G
388,APOBEC3H
389,APOBR
390,APOC1
391,APOE
392,APOL2
393,APOL3
394,APOL6
395,APOLD1
396,APOO
